atom1	atom2	r	rms
C24 	O33 	2.97	0.094
C25 	C26 	2.45	0.068
C25 	C27 	1.93	0.094
C25 	O33 	4.47	0.083
C26 	C27 	1.90	0.078
C26 	O33 	3.15	0.096
C27 	O33 	2.99	0.077
C28 	C29 	1.52	0.067
C28 	C30 	1.54	0.068
C28 	C31 	1.54	0.060
C28 	O33 	2.80	0.061
C29 	C30 	2.52	0.062
C29 	C31 	2.46	0.060
C29 	O33 	2.94	0.077
C30 	C31 	2.48	0.087
C30 	O33 	2.91	0.087
C31 	O33 	4.32	0.188
S34 	S35 	2.77	0.066
