atom1	atom2	r	rms
C1  	C2  	1.51	0.084
C1  	C3  	1.52	0.064
C1  	C4  	2.83	0.082
C1  	C5  	3.51	0.155
C1  	C6  	4.71	0.164
C1  	C8  	4.87	0.040
C1  	C9  	3.70	0.052
C1  	C18 	2.90	0.075
C1  	C19 	3.58	0.151
C1  	C20 	4.85	0.115
C1  	C23 	3.83	0.041
C1  	S34 	1.84	0.043
C1  	S35 	1.85	0.042
C2  	C3  	2.52	0.054
C2  	C4  	3.06	0.089
C2  	C5  	3.80	0.074
C2  	C6  	4.68	0.216
C2  	C7  	4.89	0.040
C2  	C8  	4.40	0.149
C2  	C9  	3.44	0.158
C2  	C18 	3.17	0.077
C2  	C19 	3.29	0.069
C2  	C20 	4.40	0.210
C2  	C23 	4.23	0.143
C2  	C25 	4.77	0.159
C2  	S34 	2.78	0.075
C2  	S35 	2.81	0.073
C3  	C4  	4.12	0.051
C3  	C5  	4.92	0.044
C3  	C9  	4.88	0.093
C3  	C18 	3.53	0.147
C3  	C19 	4.48	0.082
C3  	C23 	3.97	0.070
C3  	S34 	2.67	0.045
C3  	S35 	2.77	0.066
C4  	C5  	1.38	0.092
C4  	C6  	2.42	0.052
C4  	C7  	2.75	0.071
C4  	C8  	2.43	0.050
C4  	C9  	1.38	0.089
C4  	C10 	3.83	0.071
C4  	C11 	4.19	0.085
C4  	C12 	4.72	0.213
C4  	C13 	4.78	0.158
C4  	C14 	3.83	0.059
C4  	C15 	4.22	0.141
C4  	C16 	4.74	0.211
C4  	C17 	4.77	0.156
C4  	C18 	4.86	0.070
C4  	O32 	4.13	0.072
C4  	S34 	1.77	0.040
C4  	S35 	3.51	0.209
C5  	C6  	1.39	0.090
C5  	C7  	2.38	0.135
C5  	C8  	2.81	0.103
C5  	C9  	2.39	0.137
C5  	C10 	2.55	0.043
C5  	C11 	2.81	0.065
C5  	C12 	3.56	0.143
C5  	C13 	3.62	0.055
C5  	C14 	4.34	0.151
C5  	C18 	4.75	0.156
C5  	C19 	4.79	0.148
C5  	O32 	3.66	0.066
C5  	S34 	2.74	0.057
C5  	S35 	3.45	0.212
C6  	C7  	1.40	0.084
C6  	C8  	2.47	0.049
C6  	C9  	2.80	0.102
C6  	C10 	1.54	0.065
C6  	C11 	2.53	0.044
C6  	C12 	2.52	0.055
C6  	C13 	2.53	0.049
C6  	C14 	3.88	0.071
C6  	C16 	4.45	0.213
C6  	C17 	4.41	0.129
C6  	O32 	2.41	0.111
C6  	S34 	4.05	0.044
C6  	S35 	4.59	0.241
C7  	C8  	1.41	0.088
C7  	C9  	2.38	0.131
C7  	C10 	2.57	0.046
