atom1	atom2	r	rms
C7  	C11 	3.85	0.055
C7  	C12 	3.16	0.073
C7  	C13 	3.13	0.082
C7  	C14 	2.57	0.055
C7  	C15 	3.88	0.067
C7  	C16 	3.14	0.140
C7  	C17 	3.11	0.094
C7  	O32 	1.38	0.092
C7  	S34 	4.52	0.240
C8  	C9  	1.40	0.085
C8  	C10 	3.88	0.061
C8  	C11 	4.99	0.057
C8  	C12 	4.47	0.071
C8  	C13 	4.45	0.136
C8  	C14 	1.53	0.074
C8  	C15 	2.55	0.053
C8  	C16 	2.52	0.055
C8  	C17 	2.52	0.048
C8  	O32 	2.37	0.138
C8  	S34 	4.05	0.058
C9  	C10 	4.34	0.166
C9  	C14 	2.55	0.055
C9  	C15 	2.84	0.093
C9  	C16 	3.58	0.151
C9  	C17 	3.61	0.088
C9  	O32 	3.63	0.114
C9  	S34 	2.74	0.040
C9  	S35 	4.69	0.222
C10 	C11 	1.53	0.063
C10 	C12 	1.52	0.072
C10 	C13 	1.54	0.073
C10 	O32 	2.91	0.058
C11 	C12 	2.44	0.043
C11 	C13 	2.44	0.062
C11 	O32 	4.42	0.135
C11 	S35 	4.65	0.227
C12 	C13 	2.53	0.047
C12 	C25 	4.83	0.100
C12 	O32 	3.10	0.113
C13 	O32 	3.04	0.142
C14 	C15 	1.54	0.072
C14 	C16 	1.55	0.060
C14 	C17 	1.53	0.066
C14 	O32 	2.85	0.063
C15 	C16 	2.48	0.063
C15 	C17 	2.47	0.057
C15 	O32 	4.37	0.176
C16 	C17 	2.54	0.048
C16 	O32 	2.99	0.084
C17 	O32 	2.95	0.053
C18 	C19 	1.39	0.093
C18 	C20 	2.43	0.072
C18 	C21 	2.75	0.063
C18 	C22 	2.42	0.081
C18 	C23 	1.38	0.090
C18 	C24 	3.85	0.060
C18 	C25 	4.22	0.111
C18 	C26 	4.74	0.154
C18 	C27 	4.76	0.156
C18 	C28 	3.85	0.050
C18 	C29 	4.22	0.141
C18 	C30 	4.85	0.041
C18 	C31 	4.67	0.153
C18 	O33 	4.13	0.065
C18 	S34 	4.45	0.245
C18 	S35 	1.78	0.040
C19 	C20 	1.39	0.092
C19 	C21 	2.38	0.134
C19 	C22 	2.80	0.085
C19 	C23 	2.40	0.126
C19 	C24 	2.56	0.045
C19 	C25 	2.83	0.089
C19 	C26 	3.59	0.109
C19 	C27 	3.58	0.138
C19 	C28 	4.35	0.141
C19 	O33 	3.62	0.097
C19 	S35 	2.74	0.058
C20 	C21 	1.41	0.088
C20 	C22 	2.48	0.062
C20 	C23 	2.81	0.075
C20 	C24 	1.54	0.066
C20 	C25 	2.53	0.060
C20 	C26 	2.51	0.056
C20 	C27 	2.53	0.044
C20 	C28 	3.89	0.079
C20 	C30 	4.47	0.097
C20 	C31 	4.44	0.117
C20 	O33 	2.37	0.140
C20 	S35 	4.04	0.072
C21 	C22 	1.40	0.087
C21 	C23 	2.38	0.141
C21 	C24 	2.58	0.055
C21 	C25 	3.87	0.059
C21 	C26 	3.11	0.101
C21 	C27 	3.14	0.107
C21 	C28 	2.57	0.059
C21 	C29 	3.86	0.043
C21 	C30 	3.12	0.087
C21 	C31 	3.16	0.086
C21 	O33 	1.37	0.091
C21 	S35 	4.52	0.247
C22 	C23 	1.39	0.081
C22 	C24 	3.89	0.071
C22 	C26 	4.41	0.129
C22 	C27 	4.44	0.088
C22 	C28 	1.54	0.063
C22 	C29 	2.54	0.047
C22 	C30 	2.56	0.046
C22 	C31 	2.51	0.056
C22 	O33 	2.41	0.117
C22 	S35 	4.06	0.056
C23 	C24 	4.35	0.133
C23 	C28 	2.57	0.047
C23 	C29 	2.84	0.088
C23 	C30 	3.68	0.065
C23 	C31 	3.53	0.165
C23 	O33 	3.65	0.066
C23 	S35 	2.76	0.066
C24 	C25 	1.53	0.068
C24 	C26 	1.52	0.078
C24 	C27 	1.55	0.068
C24 	O33 	2.83	0.056
C25 	C26 	2.46	0.052
C25 	C27 	2.47	0.059
C25 	O33 	4.34	0.157
C26 	C27 	2.54	0.046
C26 	O33 	2.97	0.046
C27 	O33 	2.96	0.043
C28 	C29 	1.54	0.053
C28 	C30 	1.53	0.068
C28 	C31 	1.53	0.071
C28 	O33 	2.90	0.090
C29 	C30 	2.45	0.073
C29 	C31 	2.48	0.055
C29 	O33 	4.41	0.149
C30 	C31 	2.54	0.053
C30 	O33 	2.98	0.071
C31 	O33 	3.13	0.107
S34 	S35 	2.91	0.096
