atom1	atom2	r	rms
C1  	C2  	1.51	0.085
C1  	C3  	1.52	0.067
C1  	S34 	1.84	0.049
C1  	S35 	1.85	0.052
C4  	C5  	1.38	0.106
C4  	C6  	2.42	0.053
C4  	C8  	2.43	0.072
C4  	C9  	1.38	0.111
C4  	S34 	1.77	0.043
C5  	C6  	1.39	0.084
C5  	C7  	2.38	0.171
C5  	C9  	2.39	0.166
C6  	C7  	1.40	0.078
C6  	C8  	2.47	0.064
C6  	C10 	1.54	0.071
C6  	O32 	2.41	0.094
C7  	C8  	1.41	0.086
C7  	C9  	2.38	0.130
C7  	O32 	1.38	0.104
C8  	C9  	1.40	0.079
C8  	C14 	1.53	0.070
C8  	O32 	2.37	0.135
C10 	C11 	1.53	0.077
C10 	C12 	1.52	0.076
C10 	C13 	1.54	0.069
C11 	C12 	2.44	0.045
C11 	C13 	2.44	0.080
C14 	C15 	1.54	0.062
C14 	C16 	1.55	0.082
C14 	C17 	1.53	0.070
C15 	C16 	2.48	0.067
C15 	C17 	2.47	0.063
C18 	C19 	1.39	0.096
C18 	C20 	2.43	0.116
C18 	C22 	2.42	0.042
C18 	C23 	1.38	0.110
C18 	S35 	1.78	0.041
C19 	C20 	1.39	0.071
C19 	C21 	2.38	0.120
C19 	C23 	2.40	0.110
C20 	C21 	1.41	0.105
C20 	C22 	2.48	0.047
C20 	C24 	1.54	0.072
C20 	O33 	2.37	0.151
C21 	C22 	1.40	0.056
C21 	C23 	2.38	0.131
C21 	O33 	1.37	0.126
C22 	C23 	1.39	0.078
C22 	C28 	1.54	0.065
C22 	O33 	2.41	0.099
C24 	C25 	1.53	0.071
C24 	C26 	1.52	0.076
C24 	C27 	1.55	0.064
C25 	C26 	2.46	0.049
C25 	C27 	2.47	0.102
C28 	C29 	1.54	0.055
C28 	C30 	1.53	0.075
C28 	C31 	1.53	0.054
C29 	C30 	2.45	0.089
C29 	C31 	2.48	0.053
