atom1	atom2	r	rms
C1  	C2  	1.52	0.061
C1  	C3  	1.51	0.063
C1  	S34 	1.85	0.047
C1  	S35 	1.84	0.053
C4  	C5  	1.38	0.096
C4  	C6  	2.42	0.100
C4  	C8  	2.42	0.113
C4  	C9  	1.39	0.114
C4  	S34 	1.77	0.041
C5  	C6  	1.39	0.117
C5  	C7  	2.37	0.109
C5  	C9  	2.39	0.108
C6  	C7  	1.40	0.127
C6  	C8  	2.47	0.076
C6  	C10 	1.54	0.054
C6  	O32 	2.36	0.163
C7  	C8  	1.41	0.077
C7  	C9  	2.37	0.098
C7  	O32 	1.37	0.123
C8  	C9  	1.38	0.131
C8  	C14 	1.54	0.054
C8  	O32 	2.40	0.134
C10 	C11 	1.51	0.052
C10 	C12 	1.53	0.061
C10 	C13 	1.52	0.061
C11 	C12 	2.42	0.085
C11 	C13 	2.45	0.063
C14 	C15 	1.54	0.057
C14 	C16 	1.52	0.059
C14 	C17 	1.53	0.054
C15 	C16 	2.44	0.068
C15 	C17 	2.48	0.089
C18 	C19 	1.37	0.109
C18 	C20 	2.42	0.080
C18 	C22 	2.42	0.137
C18 	C23 	1.38	0.076
C18 	S35 	1.78	0.041
C19 	C20 	1.39	0.105
C19 	C21 	2.38	0.106
C19 	C23 	2.38	0.126
C20 	C21 	1.41	0.082
C20 	C22 	2.47	0.077
C20 	C24 	1.55	0.059
C20 	C27 	2.08	0.157
C20 	O33 	2.43	0.144
C21 	C22 	1.41	0.073
C21 	C23 	2.38	0.117
C21 	O33 	1.37	0.133
C22 	C23 	1.39	0.115
C22 	C28 	1.54	0.057
C22 	O33 	2.34	0.161
C24 	C25 	1.53	0.056
C24 	C26 	1.53	0.055
C24 	C27 	0.83	0.040
C25 	C26 	2.45	0.085
C25 	C27 	1.93	0.118
C26 	C27 	1.90	0.103
C28 	C29 	1.52	0.062
C28 	C30 	1.54	0.067
C28 	C31 	1.54	0.060
C29 	C31 	2.46	0.073
C30 	C31 	2.48	0.056
