atom1	atom2	r	rms
C1  	C2  	1.52	0.053
C1  	C3  	1.51	0.054
C1  	S34 	1.85	0.059
C1  	S35 	1.84	0.067
C4  	C5  	1.38	0.060
C4  	C6  	2.42	0.064
C4  	C8  	2.42	0.053
C4  	C9  	1.39	0.059
C4  	S34 	1.77	0.046
C5  	C6  	1.39	0.051
C5  	C7  	2.37	0.097
C5  	C9  	2.39	0.069
C6  	C7  	1.40	0.059
C6  	C8  	2.47	0.042
C6  	C10 	1.54	0.051
C6  	O32 	2.36	0.074
C7  	C8  	1.41	0.058
C7  	C9  	2.37	0.074
C7  	O32 	1.37	0.061
C8  	C9  	1.38	0.062
C8  	C14 	1.54	0.055
C8  	O32 	2.40	0.085
C10 	C11 	1.51	0.050
C10 	C12 	1.53	0.056
C10 	C13 	1.52	0.054
C11 	C12 	2.42	0.060
C11 	C13 	2.45	0.065
C14 	C15 	1.54	0.050
C14 	C16 	1.52	0.054
C14 	C17 	1.53	0.050
C15 	C16 	2.44	0.069
C15 	C17 	2.48	0.051
C18 	C19 	1.37	0.061
C18 	C20 	2.42	0.068
C18 	C22 	2.42	0.063
C18 	C23 	1.38	0.058
C18 	S35 	1.78	0.047
C19 	C20 	1.39	0.059
C19 	C21 	2.38	0.091
C19 	C23 	2.38	0.092
C20 	C21 	1.41	0.058
C20 	C22 	2.47	0.056
C20 	C24 	1.55	0.047
C20 	C27 	2.08	0.085
C20 	O33 	2.43	0.059
C21 	C22 	1.41	0.048
C21 	C23 	2.38	0.058
C21 	O33 	1.37	0.050
C22 	C23 	1.39	0.062
C22 	C28 	1.54	0.052
C22 	O33 	2.34	0.089
C24 	C25 	1.53	0.052
C24 	C26 	1.53	0.052
C24 	C27 	0.83	0.040
C25 	C26 	2.45	0.062
C25 	C27 	1.93	0.081
C26 	C27 	1.90	0.084
C28 	C29 	1.52	0.052
C28 	C30 	1.54	0.052
C28 	C31 	1.54	0.051
C29 	C31 	2.46	0.065
C30 	C31 	2.48	0.057
