0	-0.8873
0.1	-0.8873
0.2	-0.8566
0.3	-0.8276
0.4	-0.7991
0.5	-0.7679
0.6	-0.7306
0.7	-0.6837
0.8	-0.6258
0.9	-0.5583
1	-0.4916
1.1	-0.427
1.2	-0.3767
1.3	-0.2895
1.4	-0.1393
1.5	0.1117
1.6	0.4242
1.7	0.6926
1.8	0.7102
1.9	0.5281
2	0.3193
2.1	0.1374
2.2	0.0221
2.3	-0.0467
2.4	-0.096
2.5	-0.1078
2.6	-0.1092
2.7	-0.1159
2.8	-0.1135
2.9	-0.1404
3	-0.1647
3.1	-0.1974
3.2	-0.2226
3.3	-0.2433
3.4	-0.2548
3.5	-0.2284
3.6	-0.2076
3.7	-0.1784
3.8	-0.132
3.9	-0.1029
4	-0.0794
4.1	-0.0563
4.2	-0.0288
4.3	-0.0117
4.4	0.008
4.5	0.0169
4.6	0.0258
4.7	0.0359
4.8	0.0574
4.9	0.093
5	0.1134
5.1	0.1233
5.2	0.1463
5.3	0.1584
5.4	0.1635
5.5	0.161
5.6	0.1492
5.7	0.1243
5.8	0.0939
5.9	0.0731
6	0.0506
6.1	0.0299
6.2	0.0087
6.3	-0.0065
6.4	-0.0173
6.5	-0.0242
6.6	-0.0337
6.7	-0.0377
6.8	-0.035
6.9	-0.0352
7	-0.0373
7.1	-0.039
7.2	-0.0371
7.3	-0.0409
7.4	-0.0445
7.5	-0.0455
7.6	-0.0502
7.7	-0.0592
7.8	-0.0694
7.9	-0.0712
8	-0.0773
8.1	-0.0765
8.2	-0.0675
8.3	-0.0664
8.4	-0.0585
8.5	-0.0456
8.6	-0.0318
8.7	-0.0212
8.8	-0.0082
8.9	0.0066
9	0.02
9.1	0.0295
9.2	0.0405
9.3	0.0507
9.4	0.0576
9.5	0.0613
9.6	0.0665
9.7	0.0723
9.8	0.0768
9.9	0.0754
10	0.0745
10.1	0.0679
10.2	0.0588
10.3	0.0459
10.4	0.0317
10.5	0.0152
10.6	0.0065
10.7	-0.002
10.8	-0.0073
10.9	-0.0104
11	-0.0178
11.1	-0.0207
11.2	-0.0205
11.3	-0.0225
11.4	-0.0279
11.5	-0.029
11.6	-0.029
11.7	-0.03
11.8	-0.0309
11.9	-0.0316
12	-0.0319
12.1	-0.0338
12.2	-0.0326
12.3	-0.0355
12.4	-0.0313
12.5	-0.0323
12.6	-0.0323
12.7	-0.0287
12.8	-0.0265
12.9	-0.0204
13	-0.0145
13.1	-0.0095
13.2	-0.0033
13.3	0.0028
13.4	0.0116
13.5	0.0173
13.6	0.023
13.7	0.0276
13.8	0.0304
13.9	0.0325
14	0.034
14.1	0.0364
14.2	0.0383
14.3	0.0373
14.4	0.0339
14.5	0.0323
14.6	0.0299
14.7	0.0251
14.8	0.0197
14.9	0.0146
15	0.0102
15.1	0.0063
15.2	0.0012
15.3	-0.0028
15.4	-0.0051
15.5	-0.0084
15.6	-0.0114
15.7	-0.0134
15.8	-0.0164
15.9	-0.0198
16	-0.0227
